trial_count,FB,TS,correct_action,response,rt,stim,correct,con_ts,con_stim,curr_ts,switch
550,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.3972618579864502,1,True,True,True,1,False
551,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.5849740505218506,1,True,True,True,1,False
552,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.49066877365112305,0,True,True,True,1,False
553,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.43076205253601074,1,True,True,True,1,False
554,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.4357318878173828,0,True,True,True,1,False
555,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.4163649082183838,1,True,True,True,1,False
556,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,h,0.5149331092834473,0,False,False,True,1,False
557,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,h,0.5312931537628174,0,False,False,True,1,False
558,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,l,0.47549891471862793,1,False,False,True,1,False
559,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4295840263366699,1,True,True,True,0,True
560,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.41847705841064453,0,True,True,True,0,False
561,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.6741089820861816,0,True,True,True,0,False
562,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4072699546813965,1,True,True,True,0,False
563,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.44620704650878906,0,True,True,True,0,False
564,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.552480936050415,0,True,True,True,0,False
565,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.5146300792694092,1,True,True,True,0,False
566,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.6295459270477295,1,True,True,True,0,False
567,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.354280948638916,0,True,True,True,0,False
568,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4040648937225342,1,True,True,True,0,False
569,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.3524210453033447,0,True,True,True,0,False
570,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.41019701957702637,0,True,True,True,0,False
571,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,j,0.3930649757385254,0,False,False,True,0,False
572,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,k,0.3246450424194336,1,False,False,True,0,False
573,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,k,0.43939805030822754,1,False,False,True,0,False
574,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,j,0.36910009384155273,0,False,False,True,0,False
575,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.5732109546661377,1,True,True,True,1,True
576,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.5956568717956543,1,True,True,True,1,False
577,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.5603888034820557,1,True,True,True,1,False
578,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.49689483642578125,0,True,True,True,1,False
579,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.47144198417663574,0,True,True,True,1,False
580,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.38890504837036133,0,True,True,True,1,False
581,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.4883289337158203,1,True,True,True,1,False
582,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.352039098739624,0,True,True,True,1,False
583,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.40287017822265625,0,True,True,True,1,False
584,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.4088890552520752,0,True,True,True,1,False
585,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.536733865737915,1,True,True,True,1,False
586,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,l,0.48365187644958496,1,False,False,True,1,False
587,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,h,0.36483192443847656,0,False,False,True,1,False
588,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,l,0.5984759330749512,1,False,False,True,1,False
589,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.43549013137817383,0,True,True,True,0,True
590,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.5120820999145508,0,True,True,True,0,False
591,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.633491039276123,1,True,True,True,0,False
592,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.5437450408935547,1,True,True,True,0,False
593,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,j,0.37259793281555176,1,False,True,False,0,False
594,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.41437292098999023,0,True,True,True,0,False
595,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.36018896102905273,1,True,True,True,0,False
596,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4757230281829834,1,True,True,True,0,False
597,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.38065195083618164,0,True,True,True,0,False
598,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4330141544342041,1,True,True,True,0,False
599,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.47574806213378906,1,True,True,True,0,False
600,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.4462430477142334,0,True,True,True,0,False
