trial_count,FB,TS,correct_action,response,rt,stim,correct,con_ts,con_stim,curr_ts,switch
432,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.4488229751586914,1,True,True,True,1,False
433,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,k,0.4804069995880127,1,False,False,True,1,False
434,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,k,0.4185309410095215,1,False,False,True,1,False
435,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,j,0.4204990863800049,0,False,True,False,0,True
436,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.4655270576477051,0,True,True,True,0,False
437,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.3992640972137451,1,True,True,True,0,False
438,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.3350541591644287,0,True,True,True,0,False
439,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.4128870964050293,1,True,True,True,0,False
440,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.4624030590057373,1,True,True,True,0,False
441,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.41891908645629883,1,True,True,True,0,False
442,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.35489821434020996,0,True,True,True,0,False
443,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.41408300399780273,1,True,True,True,0,False
444,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.46607208251953125,1,True,True,True,0,False
445,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.5425701141357422,1,True,True,True,0,False
446,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.48470401763916016,0,True,True,True,0,False
447,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.5018670558929443,0,True,True,True,0,False
448,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.400482177734375,0,True,True,True,0,False
449,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,j,0.5267608165740967,1,False,False,True,0,False
450,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.6724519729614258,0,True,True,True,1,True
451,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.5312180519104004,1,True,True,True,1,False
452,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.4066910743713379,0,True,True,True,1,False
453,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.38420796394348145,0,True,True,True,1,False
454,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.5265510082244873,1,True,True,True,1,False
455,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.48665785789489746,1,True,True,True,1,False
456,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.3940310478210449,0,True,True,True,1,False
457,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.6232888698577881,0,True,True,True,1,False
458,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.4762539863586426,1,True,True,True,1,False
459,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.31493091583251953,0,True,True,True,1,False
460,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.5696589946746826,0,True,True,True,1,False
461,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.40776801109313965,0,True,True,True,1,False
462,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.40967392921447754,1,True,True,True,1,False
463,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.384113073348999,1,True,True,True,1,False
464,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.46831798553466797,0,True,True,True,1,False
465,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,l,0.6342759132385254,0,False,False,True,1,False
